0.000000000000000000e+00,0.000000000000000000e+00,1.620000000000000129e-03,1.000000000000000021e-03
1.000000000000000000e+00,6.852024463758257800e-02,9.999485760572163207e-01,6.400000000000000133e-02
2.000000000000000000e+00,2.576840170757930260e-01,1.999980976497429896e+00,1.290000000000000036e-01
3.000000000000000000e+00,5.785223713012203062e-01,2.999929299926104243e+00,1.930000000000000049e-01
4.000000000000000000e+00,1.030736068303186093e+00,3.999961860253046453e+00,2.580000000000000071e-01
5.000000000000000000e+00,1.612982942334280523e+00,4.999994548155857643e+00,3.230000000000000093e-01
6.000000000000000000e+00,2.318866927996368066e+00,5.999942558283892780e+00,3.870000000000000107e-01
7.000000000000000000e+00,3.159688753354725321e+00,6.999975099042472060e+00,4.520000000000000129e-01
8.000000000000000000e+00,4.122293504639916506e+00,7.999922977606996888e+00,5.160000000000000142e-01
9.000000000000000000e+00,5.221815538885016927e+00,8.999955332798926122e+00,5.809999999999999609e-01
1.000000000000000000e+01,6.451152051430228518e+00,9.999987640466260430e+00,6.460000000000000187e-01
1.100000000000000000e+01,7.799320527624266752e+00,1.099993515191024329e+01,7.099999999999999645e-01
1.200000000000000000e+01,9.287246914325624658e+00,1.199996719897880837e+01,7.750000000000000222e-01
1.300000000000000000e+01,1.090502591853543102e+01,1.299999914320236627e+01,8.399999999999999689e-01
1.400000000000000000e+01,1.263864887632641576e+01,1.399994620558688219e+01,9.040000000000000258e-01
1.500000000000000000e+01,1.451506756757273564e+01,1.499997781957580401e+01,9.689999999999999725e-01
1.600000000000000000e+01,1.650533490695127981e+01,1.599992456497060900e+01,1.032999999999999918e+00
1.700000000000000000e+01,1.864040331203097267e+01,1.699995580520463179e+01,1.098000000000000087e+00
1.800000000000000000e+01,2.090531697381664600e+01,1.799998687188249846e+01,1.163000000000000034e+00
1.900000000000000000e+01,2.328104328174729076e+01,1.899993300486188019e+01,1.227000000000000091e+00
2.000000000000000000e+01,2.580459520985600363e+01,1.999996362812815320e+01,1.292000000000000037e+00
2.100000000000000000e+01,2.845792325882164775e+01,2.099999403734568659e+01,1.356999999999999984e+00
2.200000000000000000e+01,3.121916066057896089e+01,2.199993945911345605e+01,1.421000000000000041e+00
2.300000000000000000e+01,3.413114959704620333e+01,2.299996935547732591e+01,1.485999999999999988e+00
2.400000000000000000e+01,3.717297474870653673e+01,2.399999899896979727e+01,1.550999999999999934e+00
2.500000000000000000e+01,4.031964157997816756e+01,2.499994360876551980e+01,1.614999999999999991e+00
2.600000000000000000e+01,4.362013442789146467e+01,2.599997266996068390e+01,1.679999999999999938e+00
2.700000000000000000e+01,4.702344113293521133e+01,2.699991670302286906e+01,1.743999999999999995e+00
2.800000000000000000e+01,5.058255502357294375e+01,2.799994513636747229e+01,1.808999999999999941e+00
2.900000000000000000e+01,5.427148808397130608e+01,2.899997325505346524e+01,1.874000000000000110e+00
3.000000000000000000e+01,5.806028760096049268e+01,2.999991630412835875e+01,1.937999999999999945e+00
3.100000000000000000e+01,6.200785770721670076e+01,3.099994372524749409e+01,2.003000000000000114e+00
3.200000000000000000e+01,6.608526025243246238e+01,3.199997079463810223e+01,2.068000000000000060e+00
3.300000000000000000e+01,7.029248266196258044e+01,3.299999749934540461e+01,2.133000000000000007e+00
3.400000000000000000e+01,7.459556796716285021e+01,3.399993905916873160e+01,2.197000000000000064e+00
3.500000000000000000e+01,7.906143632541277100e+01,3.499996497282941732e+01,2.262000000000000011e+00
3.600000000000000000e+01,8.365712566244526727e+01,3.599999048532954049e+01,2.326999999999999957e+00
3.700000000000000000e+01,8.834568554245537086e+01,3.699993082215284801e+01,2.391000000000000014e+00
3.800000000000000000e+01,9.320001235577568366e+01,3.799995547388292039e+01,2.455999999999999961e+00
3.900000000000000000e+01,9.818416187839567044e+01,3.899997968819349836e+01,2.520999999999999908e+00
4.000000000000000000e+01,1.032581867010691781e+02,3.999991869838255809e+01,2.584999999999999964e+00
4.100000000000000000e+01,1.085009798327588300e+02,4.099994198214297825e+01,2.649999999999999911e+00
4.200000000000000000e+01,1.138735935279236315e+02,4.199996479238852487e+01,2.714999999999999858e+00
4.300000000000000000e+01,1.193760295627451882e+02,4.299998711671935325e+01,2.780000000000000249e+00
4.400000000000000000e+01,1.249643478409005866e+02,4.399992418201235012e+01,2.843999999999999861e+00
4.500000000000000000e+01,1.307254294469464639e+02,4.499994548239447312e+01,2.909000000000000252e+00
4.600000000000000000e+01,1.366163288359115597e+02,4.599996626097581043e+01,2.974000000000000199e+00
4.700000000000000000e+01,1.426370480744793952e+02,4.699998650548341317e+01,3.039000000000000146e+00
4.800000000000000000e+01,1.487396561071539907e+02,4.799992144271071481e+01,3.103000000000000203e+00
4.900000000000000000e+01,1.550190174846882769e+02,4.899994056988350621e+01,3.168000000000000149e+00
5.000000000000000000e+01,1.614282016651514482e+02,4.999995912723800728e+01,3.233000000000000096e+00
5.100000000000000000e+01,1.679672060637227560e+02,5.099997710259245309e+01,3.298000000000000043e+00
5.200000000000000000e+01,1.746360327737526177e+02,5.199999448379412570e+01,3.362999999999999989e+00
5.300000000000000000e+01,1.813817499964711715e+02,5.299992649260765631e+01,3.427000000000000046e+00
5.400000000000000000e+01,1.883092176090000009e+02,5.399994263958789276e+01,3.491999999999999993e+00
5.500000000000000000e+01,1.953665058699815518e+02,5.499995815680843236e+01,3.556999999999999940e+00
5.600000000000000000e+01,2.025536150557543067e+02,5.599997303217743649e+01,3.621999999999999886e+00
5.700000000000000000e+01,2.098705425846214041e+02,5.699998725362268459e+01,3.687000000000000277e+00
